freq,re,im
1.00000000000000e+00,-7.86744338631641e-07,1.47261508036916e-09
1.12201845430196e+00,-9.90452244710826e-07,1.93710420081984e-09
1.25892541179417e+00,-1.24690518974807e-06,2.57576146274614e-09
1.41253754462275e+00,-1.56976013769987e-06,3.45830841662249e-09
1.58489319246111e+00,-1.97621014836518e-06,4.68296955463251e-09
1.77827941003892e+00,-2.48789993954485e-06,6.38819914380309e-09
1.99526231496888e+00,-3.13207849810873e-06,8.76924195405763e-09
2.23872113856834e+00,-3.94305011011754e-06,1.21015215709587e-08
2.51188643150958e+00,-4.96400106585281e-06,1.67736724049931e-08
2.81838293126445e+00,-6.24929929184466e-06,2.33341931954849e-08
3.16227766016838e+00,-7.86738933150748e-06,3.25573407288302e-08
3.54813389233575e+00,-9.90443677580479e-06,4.55362003602288e-08
3.98107170553497e+00,-1.24689161172065e-05,6.38141439786581e-08
4.46683592150963e+00,-1.56973861789513e-05,8.95705108070221e-08
5.01187233627272e+00,-1.97617604161049e-05,1.25882879039323e-07
5.62341325190348e+00,-2.48784588365700e-05,1.77097523933465e-07
6.30957344480192e+00,-3.13199282465256e-05,2.49352692351814e-07
7.07945784384137e+00,-3.94291432554815e-05,3.51317735412391e-07
7.94328234724280e+00,-4.96378585923544e-05,4.95237148266291e-07
8.91250938133744e+00,-6.24895820719875e-05,6.98405302737762e-07
9.99999999999998e+00,-7.86684873851260e-05,9.85249551203553e-07
1.12201845430196e+01,-9.90357997317358e-05,1.39027268152529e-06
1.25892541179416e+01,-1.24675581357002e-04,1.96220924593159e-06
1.41253754462275e+01,-1.56952338418069e-04,2.76989654879900e-06
1.58489319246111e+01,-1.97583490290145e-04,3.91056768526869e-06
1.77827941003892e+01,-2.48730518279867e-04,5.52156587372453e-06
1.99526231496888e+01,-3.13113580682218e-04,7.79689159492266e-06
2.23872113856833e+01,-3.94155591470512e-04,1.10105764299104e-05
2.51188643150957e+01,-4.96163266555712e-04,1.55497001774732e-05
2.81838293126445e+01,-6.24554511136381e-04,2.19610300040683e-05
3.16227766016837e+01,-7.86143832120226e-04,3.10169021450686e-05
3.54813389233575e+01,-9.89500299524067e-04,4.38082859768489e-05
3.98107170553496e+01,-1.24539604644372e-03,6.18762467500608e-05
4.46683592150962e+01,-1.56736748541991e-03,8.73976519288687e-05
5.01187233627271e+01,-1.97241641237851e-03,1.23447504825015e-04
5.62341325190347e+01,-2.48188400836241e-03,1.74369525775266e-04
6.30957344480191e+01,-3.12253738243379e-03,2.46299647082631e-04
7.07945784384136e+01,-3.92791549449319e-03,3.47905510441526e-04
7.94328234724279e+01,-4.93998848920939e-03,4.91431060285488e-04
8.91250938133743e+01,-6.21119050082516e-03,6.94172009414311e-04
9.99999999999997e+01,-7.80688864718555e-03,9.80559640193519e-04
1.12201845430196e+02,-9.80834620081521e-03,1.38510309386565e-03
1.25892541179416e+02,-1.23162186603205e-02,1.95654220329279e-03
1.41253754462275e+02,-1.54545751293585e-02,2.76370503519233e-03
1.58489319246111e+02,-1.93753423082385e-02,3.90376077239523e-03
1.77827941003892e+02,-2.42628870039274e-02,5.51382621706321e-03
1.99526231496887e+02,-3.03381209912625e-02,7.78723969195396e-03
2.23872113856833e+02,-3.78609196935692e-02,1.09962670291786e-02
2.51188643150957e+02,-4.71286094080303e-02,1.55235258901701e-02
2.81838293126444e+02,-5.84664954624887e-02,2.19048941034580e-02
3.16227766016837e+02,-7.22034070381305e-02,3.08867787951156e-02
3.54813389233574e+02,-8.86203666849965e-02,4.34995584764394e-02
3.98107170553496e+02,-1.07853053447495e-01,6.11449523481563e-02
4.46683592150961e+02,-1.29718676362419e-01,8.56842752198524e-02
5.01187233627270e+02,-1.53428051033988e-01,1.19490178809256e-01
5.62341325190347e+02,-1.77145386225398e-01,1.65376781687693e-01
6.30957344480191e+02,-1.97401910568607e-01,2.26246465359608e-01
7.07945784384135e+02,-2.08513867315409e-01,3.04212910797775e-01
7.94328234724278e+02,-2.02458933333934e-01,3.99002144874463e-01
8.91250938133742e+02,-1.70028741318799e-01,5.05861958080437e-01
9.99999999999995e+02,-1.03953049973665e-01,6.14197670166525e-01
1.12201845430196e+03,-3.25153402195024e-03,7.08983549727760e-01
1.25892541179416e+03,1.24187419065515e-01,7.75794254254612e-01
1.41253754462275e+03,2.63769525172477e-01,8.06753353655823e-01
1.58489319246111e+03,4.00086737435731e-01,8.02925911068324e-01
1.77827941003891e+03,5.22108588529349e-01,7.71888750018465e-01
1.99526231496887e+03,6.24774002162411e-01,7.23335379440393e-01
2.23872113856833e+03,7.07690180899133e-01,6.65821903292556e-01
2.51188643150957e+03,7.73009586480267e-01,6.05515374115109e-01
2.81838293126444e+03,8.23772314238568e-01,5.46276933248213e-01
3.16227766016836e+03,8.62982011845945e-01,4.90240549178184e-01
3.54813389233573e+03,8.93223370020177e-01,4.38410100659210e-01
3.98107170553495e+03,9.16575566682099e-01,3.91112564892616e-01
4.46683592150961e+03,9.34654371890771e-01,3.48297548359062e-01
5.01187233627269e+03,9.48694473677246e-01,3.09720299057553e-01
5.62341325190346e+03,9.59633037578438e-01,2.75047821935293e-01
6.30957344480189e+03,9.68180773700289e-01,2.43917827563407e-01
7.07945784384134e+03,9.74877940828665e-01,2.15969996976127e-01
7.94328234724277e+03,9.80136884354882e-01,1.90861481872352e-01
8.91250938133740e+03,9.84273792319142e-01,1.68273648792927e-01
9.99999999999994e+03,9.87532249999198e-01,1.47914085699957e-01
1.12201845430196e+04,9.90100708018018e-01,1.29516133086837e-01
1.25892541179416e+04,9.92125480509485e-01,1.12837192598585e-01
1.41253754462275e+04,9.93720467261920e-01,9.76564946773309e-02
1.58489319246110e+04,9.94974467200706e-01,8.37726866401392e-02
1.77827941003891e+04,9.95956709252166e-01,7.10014250059714e-02
1.99526231496887e+04,9.96721052140724e-01,5.91730583701806e-02
2.23872113856832e+04,9.97309179595784e-01,4.81304342502507e-02
2.51188643150956e+04,9.97753027794805e-01,3.77268351445846e-02
2.81838293126443e+04,9.98076617188028e-01,2.78240343812208e-02
3.16227766016836e+04,9.98297413591463e-01,1.82904549506225e-02
3.54813389233573e+04,9.98427308234146e-01,8.99941094848076e-03
3.98107170553494e+04,9.98473279490821e-01,-1.72590425194463e-04
4.46683592150960e+04,9.98437777572281e-01,-9.34750922745931e-03
5.01187233627269e+04,9.98318855428471e-01,-1.86474190594178e-02
5.62341325190345e+04,9.98110052912695e-01,-2.81961636213895e-02
6.30957344480188e+04,9.97800025433740e-01,-3.81210489830508e-02
7.07945784384133e+04,9.97371891480989e-01,-4.85545985470382e-02
7.94328234724275e+04,9.96802253970886e-01,-5.96363996483524e-02
8.91250938133739e+04,9.96059826368769e-01,-7.15150729850156e-02
9.99999999999992e+04,9.95103563350819e-01,-8.43503981986452e-02
1.12201845430195e+05,9.93880153680133e-01,-9.83156299616607e-02
1.25892541179416e+05,9.92320674641230e-01,-1.13600036892635e-01
1.41253754462274e+05,9.90336125053440e-01,-1.30411686564278e-01
1.58489319246110e+05,9.87811436323891e-01,-1.48980476166035e-01
1.77827941003891e+05,9.84597392144893e-01,-1.69561355592504e-01
1.99526231496886e+05,9.80499645050892e-01,-1.92437580863240e-01
2.23872113856832e+05,9.75263673185827e-01,-2.17923620979150e-01
2.51188643150956e+05,9.68554040376077e-01,-2.46366929473162e-01
2.81838293126443e+05,9.59925682249944e-01,-2.78147018719343e-01
3.16227766016835e+05,9.48784160799945e-01,-3.13668849932136e-01
3.54813389233572e+05,9.34331069852505e-01,-3.53344976964302e-01
3.98107170553494e+05,9.15490564514924e-01,-3.97556353413014e-01
4.46683592150959e+05,8.90814742072832e-01,-4.46574079765964e-01
5.01187233627268e+05,8.58372664777042e-01,-5.00412452026660e-01
5.62341325190344e+05,8.15647276959718e-01,-5.58567852940792e-01
6.30957344480187e+05,7.59509144517131e-01,-6.19585328925068e-01
7.07945784384131e+05,6.86422046037430e-01,-6.80411352249670e-01
7.94328234724274e+05,5.93160227042882e-01,-7.35603549866653e-01
8.91250938133737e+05,4.78384695654852e-01,-7.76783559256948e-01
1.00000000000000e+06,3.45125481786164e-01,-7.93253425898000e-01
