freq,re,im
1.00000000000000e+00,9.99961553798916e-01,-1.28055359971365e-03
1.12201845430196e+00,9.99961338908516e-01,-1.43680476294402e-03
1.25892541179417e+00,9.99961068377408e-01,-1.61212144843543e-03
1.41253754462275e+00,9.99960727798730e-01,-1.80883000044119e-03
1.58489319246111e+00,9.99960299035272e-01,-2.02954061960672e-03
1.77827941003892e+00,9.99959759253576e-01,-2.27718199846579e-03
1.99526231496888e+00,9.99959079707915e-01,-2.55504018301483e-03
2.23872113856834e+00,9.99958224209398e-01,-2.86680217598696e-03
2.51188643150958e+00,9.99957147198649e-01,-3.21660486034703e-03
2.81838293126445e+00,9.99955791319398e-01,-3.60908989209723e-03
3.16227766016838e+00,9.99954084363713e-01,-4.04946529065217e-03
3.54813389233575e+00,9.99951935426159e-01,-4.54357454385907e-03
3.98107170553497e+00,9.99949230061911e-01,-5.09797414437391e-03
4.46683592150963e+00,9.99945824190853e-01,-5.72002058587122e-03
5.01187233627272e+00,9.99941536422704e-01,-6.41796797293092e-03
5.62341325190348e+00,9.99936138394048e-01,-7.20107753905686e-03
6.30957344480192e+00,9.99929342601928e-01,-8.07974052497177e-03
7.07945784384137e+00,9.99920787085029e-01,-9.06561604615697e-03
7.94328234724280e+00,9.99910016134818e-01,-1.01717857768468e-02
8.91250938133744e+00,9.99896456006689e-01,-1.14129274998918e-02
9.99999999999998e+00,9.99879384333118e-01,-1.28055098208947e-02
1.12201845430196e+01,9.99857891602887e-01,-1.43680106239121e-02
1.25892541179416e+01,9.99830832643819e-01,-1.61211621582346e-02
1.41253754462275e+01,9.99796765507450e-01,-1.80882259950260e-02
1.58489319246111e+01,9.99753874472895e-01,-2.02953014829349e-02
1.77827941003892e+01,9.99699873024913e-01,-2.27716717673936e-02
1.99526231496888e+01,9.99631881568712e-01,-2.55501919234881e-02
2.23872113856833e+01,9.99546273257396e-01,-2.86677242910816e-02
2.51188643150957e+01,9.99438479544584e-01,-3.21656266967263e-02
2.81838293126445e+01,9.99302744826640e-01,-3.60902999016299e-02
